Include,Index,Color,Sensor Location,Sensor Type,Sensor Lot No,Sensor Info,Replicate Group,Baseline Loc.,Assoc. (Sample) Loc.,Sample ID,Sample Info,Dissoc. Loc.,Loading Loc.,Loading Sample ID,Loading Conc. (ug/ml),Loading Response,Cycle,Conc. (nM),Response,KD (M),KD2,KD Error,KD2 Error,ka (1/Ms),ka2,ka Error,ka2 Error,kdis (1/s),kdis2,kdis Error,kdis2 Error,Rmax,Rmax2,Rmax Error,Rmax2 Error,kobs (1/s),kobs2,kobs Error,kobs2 Error,Req,Req2,Req/Rmax(%),Req2/Rmax2,RSS,Full R^2,KD(%),KD2(%),File location,
x,81,#75A66D,t1E3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1E1,p1E9,Mich15,,p1E3,p1E2,WT,20,1.03,1,62.5,0.1397,<1.0E-12,1.234E-08,<1.0E-12,3.063E-09,1.363E05,2.486E05,1.107E04,2.058E04,<1.0E-07,3.067E-03,<1.0E-07,7.182E-04,0.095,0.0655,0.0106,0.0099,8.518E-03,1.861E-02,6.939E-04,2.004E-03,0.095,0.0547,100.0,83.5,0.049,0.9699,59.0,41.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_021.frd,
x,82,#75A66D,t1E3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1E1,p1E9,Mich15,,p1E3,p1E4,Fab22,20,1.51,2,62.5,0.1818,<1.0E-12,6.385E-08,,5.778E-09,7.680E04,9.663E05,1.237E03,8.252E04,<1.0E-07,6.170E-02,,1.846E-03,0.2616,0.0473,0.0025,0.0026,4.800E-03,1.221E-01,,7.004E-03,0.2616,0.0234,100.0,49.5,0.0142,0.9959,85.0,15.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_021.frd,
x,83,#75A66D,t1E3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1E1,p1E10,HK14,,p1E3,p1E2,WT,20,1.10,1,62.5,0.2555,<1.0E-12,2.417E-08,,6.181E-09,1.211E05,1.373E05,1.517E04,2.635E04,1.200E-07,3.319E-03,,5.607E-04,0.1942,0.142,0.0198,0.0185,7.566E-03,1.190E-02,,2.208E-03,0.1942,0.1024,100.0,72.1,0.0953,0.9852,58.0,42.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_021.frd,
x,84,#75A66D,t1E3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1E1,p1E10,HK14,,p1E3,p1E4,Fab22,20,1.52,2,62.5,0.3362,1.365E-12,1.757E-08,,6.811E-09,1.041E05,1.155E05,1.838E04,2.855E04,1.421E-07,2.029E-03,,6.059E-04,0.2689,0.199,0.0537,0.0506,6.506E-03,9.247E-03,,2.390E-03,0.2689,0.1554,100.0,78.1,0.104,0.9922,57.0,43.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_021.frd,
x,85,#FA3A50,t1F3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1F1,p1F9,Mich15,,p1F3,p1F2,WT,20,1.03,1,31.3,0.0796,<1.0E-12,3.894E-09,<1.0E-12,1.263E-09,3.149E05,7.243E05,3.362E04,7.053E04,<1.0E-07,2.820E-03,<1.0E-07,8.723E-04,0.0519,0.0345,0.0071,0.0075,9.839E-03,2.545E-02,1.053E-03,3.076E-03,0.0519,0.0307,100.0,88.9,0.0243,0.9505,60.0,40.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_022.frd,
x,86,#FA3A50,t1F3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1F1,p1F9,Mich15,,p1F3,p1F4,Fab22,20,1.51,2,31.3,0.1127,<1.0E-12,4.375E-10,<1.0E-12,1.151E-10,1.818E05,1.075E06,4.104E04,1.584E05,<1.0E-07,4.706E-04,<1.0E-07,1.025E-04,0.1038,0.0378,0.0023,0.0081,5.682E-03,3.408E-02,1.284E-03,5.054E-03,0.1038,0.0373,100.0,98.6,0.0301,0.9765,73.0,27.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_022.frd,
x,87,#FA3A50,t1F3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1F1,p1F10,HK14,,p1F3,p1F2,WT,20,1.10,1,31.3,0.1648,<1.0E-12,9.619E-09,<1.0E-12,2.739E-09,2.356E05,2.909E05,3.026E04,5.043E04,<1.0E-07,2.798E-03,<1.0E-07,6.322E-04,0.1262,0.0917,0.0168,0.0148,7.361E-03,1.189E-02,9.473E-04,2.208E-03,0.1262,0.0701,100.0,76.5,0.0445,0.9844,58.0,42.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_022.frd,
x,88,#FA3A50,t1F3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1F1,p1F10,HK14,,p1F3,p1F4,Fab22,20,1.52,2,31.3,0.2218,<1.0E-12,5.072E-09,,3.550E-09,2.194E05,2.725E05,3.919E04,5.973E04,1.425E-07,1.382E-03,,9.187E-04,0.1689,0.122,0.0705,0.0677,6.856E-03,9.897E-03,,2.785E-03,0.1689,0.1049,100.0,86.0,0.0603,0.9896,58.0,42.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_022.frd,
x,89,#11314D,t1G3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1G1,p1G9,Mich15,,p1G3,p1G2,WT,20,1.02,1,15.6,0.036,<1.0E-12,1.828E-08,,2.965E-09,6.945E05,2.757E06,2.668E04,4.222E05,<1.0E-07,5.040E-02,,2.701E-03,0.0288,0.0218,0.0003,0.0022,1.085E-02,9.349E-02,,9.299E-03,0.0288,0.01,100.0,46.1,0.0099,0.8803,57.0,43.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_023.frd,
x,90,#11314D,t1G3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1G1,p1G9,Mich15,,p1G3,p1G4,Fab22,20,1.49,2,15.6,0.0572,,,,,9.708E05,1.029E07,8.534E10,9.806E11,,,<1.0E-07,<1.0E-07,0.0521,0.0043,4578.8888,411.0557,1.517E-02,1.609E-01,2.668E03,3.065E04,0.0521,0.0043,100.0,100.0,0.0328,0.9108,92.0,8.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_023.frd,
x,91,#11314D,t1G3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1G1,p1G10,HK14,,p1G3,p1G2,WT,20,1.10,1,15.6,0.1077,<1.0E-12,5.927E-09,,1.433E-09,6.074E05,7.499E05,6.635E04,1.306E05,<1.0E-07,4.444E-03,,7.458E-04,0.0738,0.0527,0.006,0.0052,9.494E-03,1.616E-02,,2.787E-03,0.0738,0.0382,100.0,72.5,0.0393,0.9592,58.0,42.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_023.frd,
x,92,#11314D,t1G3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1G1,p1G10,HK14,,p1G3,p1G4,Fab22,20,1.51,2,15.6,0.1454,<1.0E-12,3.666E-09,<1.0E-12,1.660E-09,4.917E05,6.439E05,6.383E04,1.321E05,<1.0E-07,2.361E-03,<1.0E-07,9.527E-04,0.1134,0.065,0.0209,0.0189,7.685E-03,1.242E-02,9.994E-04,3.017E-03,0.1134,0.0527,100.0,81.0,0.0454,0.9791,64.0,36.0,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_023.frd,
x,93,#4557FF,t1H3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1H1,p1H9,Buffer,,p1H3,p1H2,Buffer,N/A,0.02,1,N/A,0.0448,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_024.frd,
x,94,#4557FF,t1H3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1H1,p1H9,Buffer,,p1H3,p1H4,Buffer,N/A,0.05,2,N/A,0.0588,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_024.frd,
x,95,#4557FF,t1H3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1H1,p1H10,Buffer,,p1H3,p1H2,Buffer,N/A,0.04,1,N/A,0.065,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_024.frd,
x,96,#4557FF,t1H3,FAB2G (Anti-Fab 2nd generation),,,N/A,p1H1,p1H10,Buffer,,p1H3,p1H4,Buffer,N/A,0.05,2,N/A,0.0612,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,C:\Users\Labuser\Desktop\Monica\Mahdi_Y_N\WT_Fab22_all_HA\Experiment_1\260209_024.frd,
